Awardee,Estimated Total Award Amount,Agency
YALE UNIVERSITY,"$489,315",NSF
YALE UNIVERSITY,"$1,380,247",NSF
UNIVERSITY OF ARIZONA,"$421,000",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$480,000",NSF
TRUSTEES OF BOSTON UNIVERSITY,"$549,999",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$166,664",NSF
THE GEORGE WASHINGTON UNIVERSITY,"$162,042",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$160,348",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$211,669",NSF
NORTHWESTERN UNIVERSITY,"$1,000,000",NSF
NORTHWESTERN UNIVERSITY,"$300,000",NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"$563,000",NSF
TEXAS CHRISTIAN UNIVERSITY INC,"$260,000",NSF
DUKE UNIVERSITY,"$544,864",NSF
SAN JOSE STATE UNIVERSITY RESEARCH FOUNDATION,"$76,073",NSF
NORTH CAROLINA AGRICULTURAL AND TECHNICAL STATE UNIVERSITY,"$37,840",NSF
WOODS HOLE OCEANOGRAPHIC INSTITUTION,"$349,524",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$599,920",NSF
TRINITY COLLEGE,"$488,877",NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"$149,999",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$373,129",NSF
"UNIVERSITY OF NEVADA, RENO","$200,000",NSF
CLEVELAND STATE UNIVERSITY,"$814,886",NSF
INTERNATIONAL COMPUTER SCIENCE INSTITUTE,"$10,000",NSF
UNIVERSITY OF DELAWARE,"$351,672",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$12,168",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$1,000,000",NSF
UNIVERSITY OF NEBRASKA,"$2,055,000",NSF
BROWN UNIVERSITY IN PROVIDENCE IN STATE OF RI AND PROVIDENCE PLANTATIONS,"$80,000",NSF
"JOHNS HOPKINS UNIVERSITY, THE","$494,874",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$1,199,603",NSF
UNIVERSITY OF ILLINOIS,"$2,383,226",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$300,001",NSF
"UNIVERSITY OF UTAH, THE","$359,999",NSF
"SCRIPPS RESEARCH INSTITUTE, THE","$435,000",NSF
UNIVERSITY OF ILLINOIS,"$1,800,000",NSF
UNIVERSITY OF MASSACHUSETTS,"$20,662",NSF
LOUISIANA STATE UNIVERSITY SYSTEM,"$947,860",NSF
TRUSTEES OF TUFTS COLLEGE INC,"$341,285",NSF
INTERNATIONAL COMPUTER SCIENCE INSTITUTE,"$3,360,092",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$734,965",NSF
VIRGINIA POLYTECHNIC INSTITUTE & STATE UNIVERSITY,"$61,985",NSF
UNIVERSITY OF PACIFIC,"$403,000",NSF
UNIVERSITY OF ARIZONA,"$842,680",NSF
"CLARK ATLANTA UNIVERSITY, INC.","$3,465,320",NSF
UNIVERSITY OF VERMONT & STATE AGRICULTURAL COLLEGE,"$192,182",NSF
UNIVERSITY OF WASHINGTON,"$699,881",NSF
BRYN MAWR COLLEGE,"$334,064",NSF
HUMBOLDT STATE UNIVERSITY SPONSORED PROGRAMS FOUNDATION,"$70,482",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$400,000",NSF
GEORGIA TECH RESEARCH CORPORATION,"$735,055",NSF
CENTRAL MICHIGAN UNIVERSITY (INC),"$36,649",NSF
EMBRY-RIDDLE AERONAUTICAL UNIVERSITY INC,"$248,395",NSF
DUKE UNIVERSITY,"$349,999",NSF
UNIVERSITY OF MISSOURI SYSTEM,"$48,081",NSF
ARIZONA STATE UNIVERSITY,"$384,998",NSF
LOUISIANA STATE UNIVERSITY SYSTEM,"$21,497",NSF
NORTHWESTERN UNIVERSITY,"$1,499,474",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$599,997",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$44,999",NSF
"ASSOCIATION FOR COMPUTING MACHINERY, INC.","$5,000",NSF
WELLESLEY COLLEGE,"$58,000",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$30,679",NSF
"UNIVERSITY OF UTAH, THE","$700,000",NSF
UNIVERSITY OF ARKANSAS SYSTEM,"$7,481",NSF
MARQUETTE UNIVERSITY,"$38,188",NSF
UNIVERSITY OF ALABAMA,"$116,504",NSF
NATIONAL OPINION RESEARCH CENTER,"$6,983,320",NSF
UNIVERSITY OF ILLINOIS,"$2,000,000",NSF
BUCKNELL UNIVERSITY,"$17,775",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$399,999",NSF
UNIVERSITY OF HAWAII SYSTEMS,"$249,664",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$29,176",NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,"$1,475,000",NSF
UNIVERSITY OF WISCONSIN SYSTEM,,NASA
UNIVERSITY CORPORATION FOR ATMOSPHERIC RESEARCH,,NASA
UNIVERSITY OF WISCONSIN SYSTEM,"$963,247",NSF
DUKE UNIVERSITY,"$136,950",NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY,"$233,954",NSF
UNIVERSITY OF MASSACHUSETTS,"$150,001",NSF
UTAH STATE UNIVERSITY,"$297,434",NSF
KANSAS STATE UNIVERSITY,"$2,500,000",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$472,067",NSF
UNIVERSITY OF PUERTO RICO,"$193,997",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$342,155",NSF
"EXPLORATORIUM, THE","$296,772",NSF
MICHIGAN TECHNOLOGICAL UNIVERSITY,"$234,000",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$149,241",NSF
COLORADO STATE UNIVERSITY,"$999,766",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$252,656",NSF
UNIVERSITY OF CONNECTICUT,"$1,090,000",NSF
THE RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK,"$600,000",NSF
ARIZONA STATE UNIVERSITY,,NASA
TRUSTEES OF THE COLORADO SCHOOL OF MINES,,NASA
UNIVERSITY OF CENTRAL FLORIDA,,NASA
RECTOR & VISITORS OF THE UNIVERSITY OF VIRGINIA,"$899,946",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$1,199,583",NSF
"PENNSYLVANIA STATE UNIVERSITY, THE","$195,000",NSF
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA","$101,088",NSF
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA","$499,999",NSF
NEW MEXICO INSTITUTE OF MINING AND TECHNOLOGY,"$30,000",NSF
WORCESTER POLYTECHNIC INSTITUTE,"$363,579",NSF
NORTHWESTERN UNIVERSITY,"$1,200,000",NSF
UNIVERSITY OF HOUSTON SYSTEM,"$1,200,000",NSF
SOUTHERN METHODIST UNIVERSITY INC,"$165,935",NSF
COASTAL CAROLINA UNIVERSITY,"$118,214",NSF
CARNEGIE MELLON UNIVERSITY,"$199,969",NSF
"HARVARD COLLEGE, PRESIDENT & FELLOWS OF","$104,949",NSF
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,"$199,395",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$50,000",NSF
UNIVERSITY OF TENNESSEE,,NASA
TRUSTEES OF COLUMBIA UNIVERSITY IN THE CITY OF NEW YORK,,NASA
HOFSTRA UNIVERSITY,,NASA
"MOREDATA!, INC.",,NASA
WILLIAM MARSH RICE UNIVERSITY,,NASA
TRUSTEES OF THE UNIVERSITY OF PENNSYLVANIA,,NASA
"UNIVERSITY OF CALIFORNIA, SAN FRANCISCO",,NASA
WILLIAM MARSH RICE UNIVERSITY,,NASA
"BUBBLEOLOGY RESEARCH INTERNATIONAL, INC.",,NASA
CHRISTOPHER NEWPORT UNIVERSITY,,NASA
"ANALYTICAL IMAGING & GEOPHYSICS, LLC",,NASA
UNIVERSITY OF ARIZONA,,NASA
"UNIVERSITY OF UTAH, THE",,NASA
UNIVERSITY OF TEXAS AT AUSTIN,"$341,617",NSF
TEXAS A & M UNIVERSITY,"$703,000",NSF
"TEXAS A&M UNIVERSITY SYSTEM,THE","$105,998",NSF
TEXAS A&M UNIVERSITY-KINGSVILLE,"$279,000",NSF
"GOODMAN RESEARCH GROUP, INC","$500,000",NSF
AMERICAN MATHEMATICAL SOCIETY,"$319,500",NSF
AMERICAN CHEMICAL SOCIETY,"$302,907",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$116,000",NSF
GEORGE MASON UNIVERSITY,"$572,190",NSF
"UNIVERSITY OF TOLEDO, THE","$29,960",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$309,000",NSF
"UNIVERSITY OF IOWA, THE","$420,000",NSF
THE GEORGE WASHINGTON UNIVERSITY,"$13,725",NSF
WAYNE STATE UNIVERSITY (INC),"$118,000",NSF
REGENTS OF THE UNIVERSITY OF MICHIGAN,"$652,321",NSF
"UNIVERSITY OF CALIFORNIA, DAVIS","$275,000",NSF
PURDUE UNIVERSITY,"$316,914",NSF
NEW YORK UNIVERSITY,"$285,000",NSF
UNIVERSITY ENTERPRISES CORPORATION AT CSUSB,"$243,048",NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","$240,000",NSF
UNIVERSITY OF ILLINOIS,"$1,071,760",NSF
RESEARCH FOUNDATION OF THE CITY UNIVERSITY OF NEW YORK,"$395,535",NSF
MICHIGAN STATE UNIVERSITY,"$743,133",NSF
UNIVERSITY OF PITTSBURGH THE,"$214,995",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$1,316,986",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$416,641",NSF
UNIVERSITY OF CONNECTICUT,"$250,000",NSF
THE GEORGE WASHINGTON UNIVERSITY,"$229,886",NSF
UNIVERSITY OF ARIZONA,"$190,369",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$359,198",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$474,805",NSF
UNIVERSITY OF LOUISIANA AT LAFAYETTE,"$235,000",NSF
UNIVERSITY OF ILLINOIS,"$947,884",NSF
SRI INTERNATIONAL,"$799,716",NSF
UNIVERSITY OF MARYLAND,"$644,609",NSF
TEXAS A & M UNIVERSITY,"$443,691",NSF
"CORNELL UNIVERSITY, INC","$400,000",NSF
UNIVERSITY OF SOUTH FLORIDA,"$499,960",NSF
COLORADO SEMINARY,"$114,368",NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY,"$288,000",NSF
NORTHWESTERN UNIVERSITY,"$399,999",NSF
"UNIVERSITY OF CALIFORNIA, LOS ANGELES","$299,999",NSF
UNIVERSITY OF HAWAII SYSTEMS,"$291,722",NSF
"BOULDER LANGUAGE TECHNOLOGIES (BLT), INC.","$100,000",NSF
ROWAN UNIVERSITY,"$29,869",NSF
TRUSTEES OF THE COLORADO SCHOOL OF MINES,"$247,050",NSF
COLD SPRING HARBOR LABORATORY,"$537,368",NSF
REGENTS OF THE UNIVERSITY OF IDAHO,"$447,969",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$750,000",NSF
"VANDERBILT UNIVERSITY, THE","$120,998",NSF
CARNEGIE MELLON UNIVERSITY,"$800,001",NSF
CASE WESTERN RESERVE UNIVERSITY,"$80,000",NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"$600,000",NSF
UNIVERSITY OF ILLINOIS,"$199,959",NSF
INTERNATIONAL COMPUTER SCIENCE INSTITUTE,"$300,000",NSF
PEPPERDINE UNIVERSITY,"$450,000",NSF
SALT LAKE COMMUNITY COLLEGE,"$50,000",NSF
STEVENS INSTITUTE OF TECHNOLOGY (INC),"$169,976",NSF
ARIZONA STATE UNIVERSITY,"$499,699",NSF
WESTERN MICHIGAN UNIVERSITY,"$233,462",NSF
UNIVERSITY OF MIAMI,"$174,000",NSF
PURDUE UNIVERSITY,"$345,740",NSF
WAYNE STATE UNIVERSITY (INC),"$249,995",NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY,"$800,000",NSF
FLORIDA GULF COAST UNIVERSITY,"$249,240",NSF
ARIZONA STATE UNIVERSITY,"$30,000",NSF
CLEVELAND STATE UNIVERSITY,"$120,000",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$401,000",NSF
GEORGIA TECH RESEARCH CORPORATION,"$48,935",NSF
PRAIRIE VIEW A & M UNIVERSITY,"$153,000",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$499,999",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$309,000",NSF
MICHIGAN STATE UNIVERSITY,"$499,997",NSF
SAN DIEGO STATE UNIVERSTIY FOUNDATION,"$538,979",NSF
TEXAS A&M UNIVERSITY-CORPUS CHRISTI,"$146,000",NSF
UNIVERSITY OF MAINE SYSTEM,"$249,851",NSF
TRUSTEES OF INDIANA UNIVERSITY,"$233,108",NSF
"CENTER FOR APPLIED SPECIAL TECHNOLOGY, INC","$449,968",NSF
YALE UNIVERSITY,"$600,000",NSF
UNIVERSITY OF TEXAS AT AUSTIN,"$209,945",NSF
GEORGETOWN UNIVERSITY (THE),"$379,018",NSF
"UNIVERSITY OF UTAH, THE","$199,896",NSF
"LELAND STANFORD JUNIOR UNIVERSITY, THE","$420,000",NSF
UNIVERSITY OF PITTSBURGH THE,"$232,474",NSF
UNIVERSITY OF WEST GEORGIA,"$250,000",NSF
MICHIGAN STATE UNIVERSITY,"$370,000",NSF
NORTHWESTERN UNIVERSITY,"$448,377",NSF
NORWICH UNIVERSITY,"$29,992",NSF
TEXAS A&M ENGINEERING EXPERIMENT STATION,"$139,879",NSF
UNIVERSITY OF CINCINNATI,"$140,002",NSF
UNIVERSITY OF MARYLAND BALTIMORE COUNTY,"$844,625",NSF
UNIVERSITY OF NORTH CAROLINA AT CHARLOTTE,"$140,000",NSF
UNIVERSITY OF ILLINOIS,"$255,027",NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","$420,000",NSF
"GEORGIA STATE UNIVERSITY RESEARCH FOUNDATION, INC.","$60,000",NSF
PORTLAND STATE UNIVERSITY,"$32,616",NSF
UNIVERSITY OF TEXAS AT ARLINGTON,"$214,458",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$498,710",NSF
UNIVERSITY OF MARYLAND,"$376,981",NSF
AUBURN UNIVERSITY,"$415,000",NSF
OREGON STATE UNIVERSITY,"$1,999,987",NSF
MARQUETTE UNIVERSITY,"$844,254",NSF
UNIVERSITY OF NORTH CAROLINA AT CHAPEL HILL,"$270,000",NSF
REGENTS OF THE UNIVERSITY OF MINNESOTA,"$249,931",NSF
NORTHWESTERN UNIVERSITY,"$247,500",NSF
GEORGIA TECH RESEARCH CORPORATION,"$114,122",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$275,001",NSF
"REGENTS OF THE UNIVERSITY OF CALIFORNIA, THE","$249,982",NSF
"UNIVERSITY OF CALIFORNIA, SAN DIEGO","$358,917",NSF
CALIFORNIA INSTITUTE OF TECHNOLOGY,"$60,000",NSF
UNIVERSITY OF ALASKA FAIRBANKS,"$286,173",NSF
MASSACHUSETTS INSTITUTE OF TECHNOLOGY,"$543,520",NSF
LEHIGH UNIVERSITY,"$300,000",NSF
UNIVERSITY OF LOUISIANA AT LAFAYETTE,"$372,513",NSF
UNIVERSITY OF NORTH TEXAS,"$299,558",NSF
PURDUE UNIVERSITY,"$415,381",NSF
UNIVERSITY OF CONNECTICUT,"$295,573",NSF
UNIVERSITY OF NOTRE DAME DU LAC,"$440,000",NSF
"UNIVERSITY OF CALIFORNIA, SANTA BARBARA","$16,764",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$2,000",NSF
TENNESSEE TECHNOLOGICAL UNIVERSITY,"$244,160",NSF
UNIVERSITY OF WASHINGTON,"$155,250",NSF
"RUTGERS, THE STATE UNIVERSITY OF NEW JERSEY","$225,000",NSF
UNIVERSITY OF WISCONSIN SYSTEM,"$799,998",NSF
"RESEARCH FOUNDATION OF STATE UNIVERSITY OF NEW YORK, THE","$298,197",NSF
NEROC,"$2,288,138",NSF
"CALIFORNIA STATE UNIVERSITY, CHANNEL ISLANDS","$2,499",NSF
UNIVERSITY OF TENNESSEE,"$119,869",NSF
UNIVERSITY OF SOUTH FLORIDA,"$449,972",NSF
UNIVERSITY OF HAWAII SYSTEMS,"$90,000",NSF
UNIVERSITY OF NEBRASKA,"$53,232",NSF
"REGENTS OF THE UNIVERSITY OF COLORADO, THE","$153,236",NSF
UNIVERSITY OF MASSACHUSETTS,"$492,651",NSF
THE GEORGE WASHINGTON UNIVERSITY,,NASA
SOUTHWEST RESEARCH INSTITUTE,,NASA
UNIVERSITY OF WASHINGTON,,NASA
"REGENTS OF THE UNIVERSITY OF COLORADO, THE",,NASA
"COLLEGE OF WILLIAM & MARY, THE","$215,001",NSF
"DIOXIDE MATERIALS, INC.","$649,132",NSF
UNIVERSITY SYSTEM OF NEW HAMPSHIRE,"$722,107",NSF
"CORNELL UNIVERSITY, INC","$4,110,000",NSF
CHICAGO ZOOLOGICAL SOCIETY INC,"$1,658,385",NSF
CARNEGIE MELLON UNIVERSITY,"$493,500",NSF
UNIVERSITY OF MAINE SYSTEM,"$219,966",NSF
UNIVERSITY OF MASSACHUSETTS,"$2,833,860",NSF
UNIVERSITY OF ILLINOIS,"$572,300",NSF
